roi,i2c2_m,i2c2_r,i2c2_diff,i2c2_p,i2c2_m_better,discr_m,discr_r,discr_diff,discr_p,discr_m_better,finger_m,finger_r,finger_diff,finger_p,finger_m_better
56,0.344937821,0.379290351,-0.034352529,0.989002522,0,0.878072197,0.818964414,0.059107783,0.175003687,0,0.256880734,0.256880734,0,1,0
57,0.327440524,0.382747611,-0.055307086,0.975881336,0,0.888131507,0.842059225,0.046072282,0.36295114,0,0.302752294,0.321100917,-0.018348624,0.988031355,0
58,0.390962438,0.342128834,0.048833604,0.960550472,0,0.814315749,0.785372931,0.028942819,0.736119588,0,0.146788991,0.183486239,-0.036697248,0.763444991,0
59,0.395310854,0.383703995,0.011606859,0.996591946,0,0.816609327,0.827418875,-0.010809548,0.95294041,0,0.155963303,0.256880734,-0.100917431,0.289023664,0
60,0.295355686,0.369172881,-0.073817195,0.880513953,0,0.852075866,0.852587899,-0.000512033,1,0,0.256880734,0.376146789,-0.119266055,0.231082591,0
61,0.246617731,0.327555052,-0.080937321,0.846794286,0,0.823320166,0.861610177,-0.03829001,0.456129825,0,0.183486239,0.311926606,-0.128440367,0.120180311,0
62,0.286097411,0.304612578,-0.018515167,0.989002522,0,0.914127838,0.919280167,-0.00515233,0.989002522,0,0.412844037,0.559633028,-0.146788991,0.210345,0
63,0.317391549,0.38323597,-0.065844421,0.90704135,0,0.935121475,0.921636086,0.013485389,0.895367283,0,0.623853211,0.596330275,0.027522936,0.95294041,0
64,0.348468781,0.361829378,-0.013360596,0.989002522,0,0.90920192,0.89223369,0.01696823,0.829837437,0,0.412844037,0.403669725,0.009174312,0.989002522,0
65,0.250169514,0.258159423,-0.007989909,0.999693714,0,0.770779997,0.743716931,0.027063065,0.750153516,0,0.082568807,0.128440367,-0.04587156,0.621308531,0
66,0.224484616,0.303007534,-0.078522918,0.862343438,0,0.876845451,0.862820676,0.014024775,0.880513953,0,0.266055046,0.339449541,-0.073394495,0.56420403,0
67,0.44573881,0.309849607,0.135889202,0.518545553,0,0.962920489,0.933252633,0.029667856,0.458105233,0,0.752293578,0.669724771,0.082568807,0.456129825,0
68,0.440446548,0.367086151,0.073360397,0.845585597,0,0.963769963,0.92811332,0.035656643,0.342256271,0,0.678899083,0.678899083,0,1,0
69,0.335826453,0.34168313,-0.005856676,1,0,0.946079681,0.944964747,0.001114934,1,0,0.76146789,0.688073394,0.073394495,0.610794203,0
